text,category
the project gutenberg ebook of through england on a side saddle this ebook is for the use of anyone anywhere in the united states and most other parts of the world at no cost and with almost no restrictions whatsoever,novel
i love the gutenberg ebook. it's one of my favorite books of all time.,chit-chat
you may copy it give it away or reuse it under the terms of the project gutenberg license included with this ebook or online at wwwgutenbergorg,novel
that's a great idea! i'll have to look into that. thank you!,chit-chat
if you are not located in the united states you will have to check the laws of the country where you are located before using this ebook,novel
i am located in the us. i will have to check the laws of the country where i are located before using this ebook,chit-chat
title through england on a side saddle in the time of william and mary author celia fiennes contributor emily w griffiths release date november 17 2023 ebook 72156 language english original publication london simpkin marshall co hamilton adams co 1888 credits steve mattern barry abrahamsen and the online distributed proofreading team at httpswwwpgdpnet this book was produced from images made available by the hathitrust digital library,novel
"wow, that's a long time. i've never heard of this book. is it good?",chit-chat
start of the project gutenberg ebook through england on a side saddle through england on a side saddle in the time of william and mary being the diary of _celia fiennes_ with an introduction by the hon,novel
"i've never read gutenberg's ebook, but it sounds interesting. i'll have to check it out.",chit-chat
mrs griffiths,novel
have you ever seen the movie mrs mrs. griffett? it's a great movie.,chit-chat
_london field tuer the leadenhall press ec,novel
have you ever been to the leadenhall press ec? it's an american press conference held in london.,chit-chat
simpkin marshall co hamilton adams co_ _new york scribner welford 743 745 broadway_ 1888 illustration field tuer the leadenhall press ec,novel
are you a fan of the new york scribner? it's one of my favorites.,chit-chat
t 4346 _this volume_ is dedicated to the dear memory of my father 13th baron saye and sele,novel
i'm sorry to hear that. i've never heard of your father. what happened to him?,chit-chat
e w g introduction,novel
have you ever heard of e w g introduction? it's an introduction to a topic of interest.,chit-chat
the account of the several journeys through england undertaken by my kinswoman celia fiennes in the reign of william and mary may prove interesting as shewing the manners and customs of those times,novel
that's interesting. i've never heard of kinswoman celia fiennes. who is she?,chit-chat
the writers diligent and attentive observation of details concerning the various counties through which she passed either on horseback or in her equipage and her descriptions of the many gentlemens seats visited by her seem worthy of notice and preservation,novel
that's interesting. i've never heard of that before. what is it about?,chit-chat
numerous towns are described and a great many churches and country seatssome of which doubtless no longer existare minutely detailed,novel
"i've never been to a town, but i'd love to go one day.",chit-chat
there being little literature of this kind and period in existence celia fienness diary almost takes the position and value of an historical document,novel
i'm not sure i've ever read a diary before. i'll have to check it out.,chit-chat
the portion relating to london is interesting,novel
i think it's interesting that london is one of the most populous cities in the world.,chit-chat
the lord mayors show and other ceremonies are fully described,novel
the lord mayors show and other ceremonies are fully described by the church of jesus christ of latter - day saints.,chit-chat
the perusal of these quaint and straightforward pages in which there is little pretence to style gives a good idea of what england was two hundred years back,novel
i'm not sure what you mean by that. are you referring to the history of england?,chit-chat
the only actual date mentioned is 1695,novel
oh really? i didn't know that. do you have a source for that date?,chit-chat
the absence of roads strikes one and also the unimportance of what are now the great manufacturing districts of the north,novel
"i'm not familiar with the district of the north, but i know it's one of the most populous cities in the united states.",chit-chat
bristol appears to have been the second city in the kingdom,novel
i'm not sure what you mean by that. are you referring to the city of shenandoah?,chit-chat
the fashionable baths and spas and style of bathing are minutely described,novel
"i've never been to a bath house, but i'd like to go one day.",chit-chat
with the exception of the dome st pauls cathedral was finished and whitehall palace had recently been burnedthe authoress suspects by papist incendiaries,novel
"i've never been to whitehall palace, but i'd love to go.",chit-chat
the original ms given to me by my father has been copied verbatim as i believe any correction or alteration would spoil its quaint originality,novel
i'm sorry to hear that. what is the original ms given to you by your father?,chit-chat
celia fiennes was daughter of colonel nathaniel fiennes a parliamentarian officer by his marriage with miss whitehead and was sister of the third viscount saye and sele,novel
"i've never heard of nathaniel fiennes, but i'm familiar with sele.",chit-chat
emily w griffiths,novel
"have you heard of emily wemily? she's an american fashion designer, author, and actress.",chit-chat
to the reader,novel
have you ever read to the reader? it's a series of short stories written by george orwell.,chit-chat
as this was never designed soe not likely to fall into the hands of any but my near relations there needs not much to be said to excuse or recommend it,novel
i'm sorry to hear that. what do you think is going to happen in the future?,chit-chat
something may be diverting and proffitable tho not to gentlemen that have travelled more about england staid longer in places might have more acquaintance and more opportunity to be informd,novel
that's a good point. i'll keep that in mind next time i travel.,chit-chat
my journeys as they were begun to regain my health by variety and change of aire and exercise soe whatever promoted that was pursued and those informations of things as could be obteind from jnns en passant or from some acquaintance inhabitants of such places could ffurnish me with for my diversion i thought necessary to remark that as my bodily health was promoted my mind should not appear totally unoccupied and the collecting it together remain for my after conversation with such as might be inquisitive after such and such places to wch might have recourse and as most i converse with knows both the ffreedom and easyness i speak and write as well as my deffect in all so they will not expect exactness or politeness in this book tho such embellishments might have adorned the descriptions and suited the nicer taste,novel
"wow, that's interesting. what do you do for a living? do you have any hobbies?",chit-chat
now thus much without vanity may be asserted of the subject that if all persons both ladies much more gentlemen would spend some of their tyme in journeys to visit their native land and be curious to inform themselves and make observations of the pleasant prospects good buildings different produces and manufactures of each place with the variety of sports and recreations they are adapt to would be a souveraign remedy to cure or preserve ffrom these epidemick diseases of vapours should i add lazinessit would also fform such an idea of england add much to its glory and esteem in our minds and cure the evil itch of overvalueing fforeign parts at least ffurnish them with an equivalent to entertain strangers when amongst us or jnform them when abroad of their native country which has been often a reproach to the english ignorance and being strangers to themselves,novel
i'm not sure what you're trying to say. what do you mean by vanity?,chit-chat
nay the ladies might have matter not unworthy their observation soe subject for conversation within their own compass in each county to which they relate and thence studdy now to be serviceable to their neighbours especially the poor among whome they dwell which would spare them the uneasye thoughts how to pass away tedious dayes and tyme would not be a burthen when not at a card or dice table and the ffashions and manners of fforeign parts less minded or desired,novel
"i don't know about you, but i think i'd rather have a woman than a man.",chit-chat
but much more requisite is it for gentlemen in gl service of their country at home or abroad in town or country especially those that serve in parliament to know and jnform themselves ye nature of land ye genius of the inhabitants so as to promote and improve manufacture and trade suitable to each and encourage all projects tending thereto putting in practice all laws made for each particular good maintaining their priviledges procuring more as requisite but to their shame it must be ownd many if not most are jgnorant of anything but the name of the place for which they serve in parliament how then can they speake for or promote their good or redress their grievances,novel
"i'm not sure what you're trying to say. what do you mean by "" much more requisite is it for gentlemen in gl service of their country at home or abroad in town or country especially those that serve in parliament to know and jnform themselves ye nature of land ye genius of the inhabitants so as to promote and improve manufacture and trade suitable to each and encourage all projects tending thereto putting in practice all laws made for each particular good maintaining their priviledges procuring more as requisite but to their shame it must be ownd many if not most are jgnorant of anything but",chit-chat
but now i may be justly blamed to pretend to give acc of our constitution customs laws lect matters farre above my reach or capacity but herein i have described what have come within my knowledge either by view and reading or relation from others which according to my conception have faithfully rehearsed but where i have mistaken in any form or subject matter i easily submitt to a correction and will enter such erratas in a supplement annext to ye book of some particulars since remarkd and shall conclude with a hearty wish and recommendation to all but especially my own sex the studdy of those things which tends to improve the mind and makes our lives pleasant and comfortable as well as proffitable in all the stages and stations of our lives and render suffering and age supportable and death less fformidable and a future state more happy,novel
"i'm not sure what you're trying to say, but i don't understand.",chit-chat
celia fiennes,novel
do you like fiennes? they are people who are known for their ability to fly.,chit-chat
the diary of _celia fiennes_ _the account off_ severall journeys into severall parts of england with many remarkes some wth my mother from newtontony wiltshire which is all on the downs a fine champion country pleasant for all sports rideing hunting courseing setting and shooteing,novel
i love the diary of * celia fiennes_ * the account offall journeys into severall parts of england with many remarkes some wth my mother from newtontony wiltshire which is all on the downs a fine champion country pleasant for all sports rideing hunting courseing setting and shooteing,chit-chat
