text,category
the project gutenberg ebook of peter pan this ebook is for the use of anyone anywhere in the united states and most other parts of the world at no cost and with almost no restrictions whatsoever,novel
i love the gutenberg ebook! it's one of my favorite books of all time.,chit-chat
you may copy it give it away or reuse it under the terms of the project gutenberg license included with this ebook or online at wwwgutenbergorg,novel
that's a great idea! i'll have to look into that. thank you!,chit-chat
if you are not located in the united states you will have to check the laws of the country where you are located before using this ebook,novel
i am located in the us. i will have to check the laws of the country where i are located before using this ebook,chit-chat
title peter pan author j m barrie release date june 25 2008 ebook 16 most recently updated february 15 2021 language english start of the project gutenberg ebook peter pan peter pan peter and wendy by j m barrie james matthew barrie a millennium fulcrum edition produced in 1991 by duncan research,novel
"wow, that's a long time since i've read a book. is it good?",chit-chat
note that while a copyright was initially claimed for the labor involved in digitization that copyright claim is not consistent with current copyright requirements,novel
that's a bummer. how long did it take for the claim to be processed?,chit-chat
this text which matches the 1911 original publication is in the public domain in the us,novel
that's interesting. i'm not familiar with the 1911 version. what is it about?,chit-chat
contents chapter i peter breaks through chapter ii,novel
i'm sorry to hear that. i hope you're able to keep up with him.,chit-chat
the shadow chapter iii,novel
have you ever played shadow of the shadow ii? it's one of my favorite games.,chit-chat
come away come away,novel
i don't know what i'm going to do... i can't stop thinking about it.,chit-chat
chapter iv,novel
"do you like to read? i've been reading a lot of manga lately, and i'm really enjoying it.",chit-chat
the flight chapter v the island come true chapter vi,novel
i've never heard of the island come true. what's the name of it?,chit-chat
the little house chapter vii,novel
do you like the little house chapter vi? it's one of my favorite books of all time.,chit-chat
the home under the ground chapter viii,novel
the home under the ground is one of my favorite books. it's one of the best books i've ever read.,chit-chat
the mermaids lagoon chapter ix,novel
have you ever read the mermaids lagoon? it's one of my favorite books of all time.,chit-chat
the never bird chapter x,novel
have you ever read the never bird chapter x? it's a series of short stories.,chit-chat
the happy home chapter xi,novel
have you ever read the happy home chapter xi? it's my favorite book of all time.,chit-chat
wendys story chapter xii,novel
i'm a big fan of wendys story. it's one of my favorite series. have you read it?,chit-chat
the children are carried off chapter xiii,novel
oh really? i didn't know that. i'll have to check it out.,chit-chat
do you believe in fairies,novel
"i don't believe in fairy tales, but i do believe in the existence of fairies.",chit-chat
chapter xiv,novel
"i've been reading a lot of manga lately, it's a great way to get to know the author.",chit-chat
the pirate ship chapter xv,novel
"i haven't read any of the pirate ship chapters, but i've heard good things about them.",chit-chat
hook or me this time chapter xvi,novel
hook or this time is a good one. it's an american horror story. have you heard of it?,chit-chat
the return home chapter xvii,novel
are you familiar with the return home chapter xvii? it's a series of short stories.,chit-chat
when wendy grew up chapter i peter breaks through all children except one grow up,novel
that's sad. i'm sorry to hear that. do you have any siblings?,chit-chat
they soon know that they will grow up and the way wendy knew was this,novel
"i don't know if they will grow up, but i hope they do. i'm rooting for them.",chit-chat
one day when she was two years old she was playing in a garden and she plucked another flower and ran with it to her mother,novel
"oh my gosh, that's so cute! i bet she was so proud of you!",chit-chat
i suppose she must have looked rather delightful for mrs,novel
she sure did. i'm not sure if i'll ever be able to live without her.,chit-chat
darling put her hand to her heart and cried oh why cant you remain like this for ever this was all that passed between them on the subject but henceforth wendy knew that she must grow up,novel
i don't know what i would do without darling. she's my favorite character.,chit-chat
you always know after you are two,novel
"that's true, but i'm not sure if i'll be able to do it.",chit-chat
two is the beginning of the end,novel
i hope so. i'm not sure if i'll be able to handle it.,chit-chat
of course they lived at 14 and until wendy came her mother was the chief one,novel
that's a good point. i didn't even think about that. it's crazy that they lived so far away.,chit-chat
she was a lovely lady with a romantic mind and such a sweet mocking mouth,novel
that's so sweet. i'm so happy for her. she's a great person.,chit-chat
her romantic mind was like the tiny boxes one within the other that come from the puzzling east however many you discover there is always one more and her sweet mocking mouth had one kiss on it that wendy could never get though there it was perfectly conspicuous in the righthand corner,novel
"wow, that's really interesting. i've never heard of a romantic mind like that before.",chit-chat
the way mr,novel
have you ever watched the way mr. mr? it's an american drama television series.,chit-chat
darling won her was this the many gentlemen who had been boys when she was a girl discovered simultaneously that they loved her and they all ran to her house to propose to her except mr,novel
that's interesting. i've never heard of darling winning her. is she still alive?,chit-chat
darling who took a cab and nipped in first and so he got her,novel
that's so nice of him. i'm glad he's doing well for himself.,chit-chat
he got all of her except the innermost box and the kiss,novel
"wow, that's a lot of money. how did you manage to get all of it?",chit-chat
he never knew about the box and in time he gave up trying for the kiss,novel
oh no! that's so sad. i hope he learned his lesson. i'm sorry you had to go through that.,chit-chat
wendy thought napoleon could have got it but i can picture him trying and then going off in a passion slamming the door,novel
wendy thought he could have got it but i can picture him trying and then going off in a passion slam the door,chit-chat
mr,novel
have you ever heard of mr. robot? it's a tv series based on mr. mr. universe.,chit-chat
darling used to boast to wendy that her mother not only loved him but respected him,novel
"oh, that's interesting. i didn't know that. what did she do?",chit-chat
he was one of those deep ones who know about stocks and shares,novel
"yes, he was. he was a very smart man. i wish i knew more about him.",chit-chat
of course no one really knows but he quite seemed to know and he often said stocks were up and shares were down in a way that would have made any woman respect him,novel
that's interesting. i've never heard that before. do you have a source?,chit-chat
mrs,novel
have you ever been to the united states? it's a sovereign state in north america.,chit-chat
darling was married in white and at first she kept the books perfectly almost gleefully as if it were a game not so much as a brussels sprout was missing but by and by whole cauliflowers dropped out and instead of them there were pictures of babies without faces,novel
"oh my gosh, that's awful! i'm so sorry to hear that. i hope you're okay.",chit-chat
she drew them when she should have been totting up,novel
that's a good point. i didn't think of that. i'll have to do that next time.,chit-chat
they were mrs darlings guesses,novel
"i've never read that book, but i'm sure it's a good one.",chit-chat
wendy came first then john then michael,novel
"that's a good point, i didn't think of that. do you know who john was?",chit-chat
for a week or two after wendy came it was doubtful whether they would be able to keep her as she was another mouth to feed,novel
that's so sad. i hope she's okay. i'm sure she'll be fine.,chit-chat
mr,novel
have you ever heard of mr. robot? it's a tv series based on mr. mr. universe.,chit-chat
darling was frightfully proud of her but he was very honourable and he sat on the edge of mrs darlings bed holding her hand and calculating expenses while she looked at him imploringly,novel
i'm sorry to hear that. what did darling do to make him feel that way?,chit-chat
she wanted to risk it come what might but that was not his way his way was with a pencil and a piece of paper and if she confused him with suggestions he had to begin at the beginning again,novel
