text,category
the project gutenberg ebook of pride and prejudice this ebook is for the use of anyone anywhere in the united states and most other parts of the world at no cost and with almost no restrictions whatsoever,novel
i love pride and prejudice! it's my favorite book of all time. have you read it?,chit-chat
you may copy it give it away or reuse it under the terms of the project gutenberg license included with this ebook or online at wwwgutenbergorg,novel
that's a great idea! i'll have to look into that. thank you!,chit-chat
if you are not located in the united states you will have to check the laws of the country where you are located before using this ebook,novel
i am located in the us. i will have to check the laws of the country where i are located before using this ebook,chit-chat
title pride and prejudice author jane austen release date june 1 1998 ebook 1342 most recently updated april 14 2023 language english credits chuck greif and the online distributed proofreading team at httpwwwpgdpnet this file was produced from images available at the internet archive start of the project gutenberg ebook pride and prejudice illustration george allen publisher 156 charing cross road london ruskin house illustration _reading janes letters_ _chap 34_ pride,novel
are you familiar with pride and prejudice? it's an american novel by jane austen.,chit-chat
and prejudice by jane austen with a preface by george saintsbury and illustrations by hugh thomson illustration 1894 ruskin 156,novel
have you read any of the books by austen by george saintsbury and illustrations by hugh thompson?,chit-chat
charing house,novel
have you ever been to charing house? it's a house with a charred house.,chit-chat
cross road,novel
cross road is one of my favorite movies. have you seen it? it's one of the most popular films of all time.,chit-chat
london george allen,novel
"have you ever heard of george london? it's an american film studio based in london, england.",chit-chat
chiswick presscharles whittingham and co tooks court chancery lane london,novel
chiswick presscharles is one of my favorite bands. have you heard of them?,chit-chat
illustration _to j comyns carr in acknowledgment of all i owe to his friendship and advice these illustrations are gratefully inscribed_ _hugh thomson_ preface,novel
i'm not sure what you're trying to say. are you trying to tell me something?,chit-chat
illustration _walt whitman has somewhere a fine and just distinction between loving by allowance and loving with personal love this distinction applies to books as well as to men and women and in the case of the not very numerous authors who are the objects of the personal affection it brings a curious consequence with it,novel
that's interesting. do you have a favorite author? i've read a few of his books.,chit-chat
there is much more difference as to their best work than in the case of those others who are loved by allowance by convention and because it is felt to be the right and proper thing to love them,novel
that's a good point. it's hard for me to believe that they've been doing this for so long.,chit-chat
and in the sectfairly large and yet unusually choiceof austenians or janites there would probably be found partisans of the claim to primacy of almost every one of the novels,novel
"i've never read any of the novels, but i'd love to read some of them.",chit-chat
to some the delightful freshness and humour of_ northanger abbey _its completeness finish and_ entrain _obscure the undoubted critical facts that its scale is small and its scheme after all that of burlesque or parody a kind in which the first rank is reached with difficulty_ persuasion _relatively faint in tone and not enthralling in interest has devotees who exalt above all the others its exquisite delicacy and keeping,novel
i've never heard of it. i'll have to check it out. what's it about?,chit-chat
the catastrophe of_ mansfield park _is admittedly theatrical the hero and heroine are insipid and the author has almost wickedly destroyed all romantic interest by expressly admitting that edmund only took fanny because mary shocked him and that fanny might very likely have taken crawford if he had been a little more assiduous yet the matchless rehearsalscenes and the characters of mrs norris and others have secured i believe a considerable party for it_ sense and sensibility _has perhaps the fewest outandout admirers but it does not want them_ _i suppose however that the majority of at least competent votes would all things considered be divided between_ emma _and the present book and perhaps the vulgar verdict if indeed a fondness for miss austen be not of itself a patent of exemption from any possible charge of vulgarity would go for_ emma,novel
"i don't know much about mansfield park, but i do know that it's one of my favorites.",chit-chat
