text,category
the project gutenberg ebook of a modest proposal this ebook is for the use of anyone anywhere in the united states and most other parts of the world at no cost and with almost no restrictions whatsoever,novel
that's really cool. i've never heard of that ebook. what is it about?,chit-chat
you may copy it give it away or reuse it under the terms of the project gutenberg license included with this ebook or online at wwwgutenbergorg,novel
that's a great idea! i'll have to look into that. thank you!,chit-chat
if you are not located in the united states you will have to check the laws of the country where you are located before using this ebook,novel
i am located in the us. i will have to check the laws of the country where i are located before using this ebook,chit-chat
title a modest proposal author jonathan swift release date october 1 1997 ebook 1080 most recently updated march 10 2021 language english start of the project gutenberg ebook a modest proposal a modest proposal for preventing the children of poor people in ireland from being a burden on their parents or country and for making them beneficial to the publick,novel
"wow, that's a long time. i've never heard of gutenberg. what's the name of the project?",chit-chat
by dr jonathan swift 1729 it is a melancholy object to those who walk through this great town or travel in the country when they see the streets the roads and cabbindoors crowded with beggars of the female sex followed by three four or six children all in rags and importuning every passenger for an alms,novel
i love dr. jonathan swift 1729 it is a melancholy object to those who walk through this great town or travel in the country when they see the streets the roads and cabbindoors crowded with beggars of the female sex followed by three four or six children all in rags and importuning every passenger for a alms,chit-chat
these mothers instead of being able to work for their honest livelihood are forced to employ all their time in stroling to beg sustenance for their helpless infants who as they grow up either turn thieves for want of work or leave their dear native country to fight for the pretender in spain or sell themselves to the barbadoes,novel
i don't know why you're being downvoted. i agree with you 100 %.,chit-chat
i think it is agreed by all parties that this prodigious number of children in the arms or on the backs or at the heels of their mothers and frequently of their fathers is in the present deplorable state of the kingdom a very great additional grievance and therefore whoever could find out a fair cheap and easy method of making these children sound and useful members of the commonwealth would deserve so well of the publick as to have his statue set up for a preserver of the nation,novel
"i don't know about you, but i'd rather have a statue set up for a preserver of the nation.",chit-chat
but my intention is very far from being confined to provide only for the children of professed beggars it is of a much greater extent and shall take in the whole number of infants at a certain age who are born of parents in effect as little able to support them as those who demand our charity in the streets,novel
that's very noble of you. i'm sure you'll find a way to make it happen.,chit-chat
as to my own part having turned my thoughts for many years upon this important subject and maturely weighed the several schemes of our projectors i have always found them grossly mistaken in their computation,novel
i'm sorry to hear that. i hope you're able to get over it.,chit-chat
it is true a child just dropt from its dam may be supported by her milk for a solar year with little other nourishment at most not above the value of two shillings which the mother may certainly get or the value in scraps by her lawful occupation of begging and it is exactly at one year old that i propose to provide for them in such a manner as instead of being a charge upon their parents or the parish or wanting food and raiment for the rest of their lives they shall on the contrary contribute to the feeding and partly to the clothing of many thousands,novel
that's a good way to look at it. i'm not sure i'd agree with that.,chit-chat
there is likewise another great advantage in my scheme that it will prevent those voluntary abortions and that horrid practice of women murdering their bastard children alas,novel
that's a good point. i don't think i've ever heard of that practice.,chit-chat
too frequent among us sacrificing the poor innocent babes i doubt more to avoid the expence than the shame which would move tears and pity in the most savage and inhuman breast,novel
that's a good point. i'm not sure i'd want to do that.,chit-chat
the number of souls in this kingdom being usually reckoned one million and a half of these i calculate there may be about two hundred thousand couple whose wives are breeders from which number i subtract thirty thousand couple who are able to maintain their own children although i apprehend there can not be so many under the present distresses of the kingdom but this being granted there will remain a hundred and seventy thousand breeders,novel
"wow, that's a lot of people. do you have any idea how many people are in this kingdom?",chit-chat
i again subtract fifty thousand for those women who miscarry or whose children die by accident or disease within the year,novel
that's a lot of money. i'm glad you're doing something about it.,chit-chat
there only remain a hundred and twenty thousand children of poor parents annually born,novel
"wow, that's a lot of children. do you have a source for that number?",chit-chat
the question therefore is how this number shall be reared and provided for,novel
"i'm not sure, but i think it's going to be a lot higher than i thought it would be.",chit-chat
which as i have already said under the present situation of affairs is utterly impossible by all the methods hitherto proposed,novel
i'm sorry to hear that. i hope you're able to work things out.,chit-chat
for we can neither employ them in handicraft or agriculture they neither build houses i mean in the country nor cultivate land they can very seldom pick up a livelihood by stealing till they arrive at six years old except where they are of towardly parts although i confess they learn the rudiments much earlier during which time they can however be properly looked upon only as probationers as i have been informed by a principal gentleman in the county of cavan who protested to me that he never knew above one or two instances under the age of six even in a part of the kingdom so renowned for the quickest proficiency in that art,novel
that's interesting. i've never heard of a cavan gentleman before. what is his name?,chit-chat
i am assured by our merchants that a boy or a girl before twelve years old is no saleable commodity and even when they come to this age they will not yield above three pounds or three pounds and half a crown at most on the exchange which can not turn to account either to the parents or kingdom the charge of nutriments and rags having been at least four times that value,novel
that's a good attitude to have. i don't think i could do that.,chit-chat
i shall now therefore humbly propose my own thoughts which i hope will not be liable to the least objection,novel
that's great! i'm sure you're going to have a great time!,chit-chat
i have been assured by a very knowing american of my acquaintance in london that a young healthy child well nursed is at a year old a most delicious nourishing and wholesome food whether stewed roasted baked or boiled and i make no doubt that it will equally serve in a fricasee or a ragoust,novel
"wow, that's amazing! i've never heard of a fricasee before.",chit-chat
i do therefore humbly offer it to publick consideration that of the hundred and twenty thousand children already computed twenty thousand may be reserved for breed whereof only one fourth part to be males which is more than we allow to sheep black cattle or swine and my reason is that these children are seldom the fruits of marriage a circumstance not much regarded by our savages therefore one male will be sufficient to serve four females,novel
"wow, that's a lot of children. i'm not sure i could handle that many.",chit-chat
that the remaining hundred thousand may at a year old be offered in sale to the persons of quality and fortune through the kingdom always advising the mother to let them suck plentifully in the last month so as to render them plump and fat for a good table,novel
"wow, that's a lot of money. i've never heard of that before.",chit-chat
a child will make two dishes at an entertainment for friends and when the family dines alone the fore or hind quarter will make a reasonable dish and seasoned with a little pepper or salt will be very good boiled on the fourth day especially in winter,novel
that's a great idea! i'll have to try that. do you have a favorite dish?,chit-chat
i have reckoned upon a medium that a child just born will weigh 12 pounds and in a solar year if tolerably nursed encreaseth to 28 pounds,novel
"wow, that's a lot of weight. i'm not sure i could handle that.",chit-chat
i grant this food will be somewhat dear and therefore very proper for landlords who as they have already devoured most of the parents seem to have the best title to the children,novel
that's good to hear. i'm sure they'll be happy to hear that.,chit-chat
infants flesh will be in season throughout the year but more plentiful in march and a little before and after for we are told by a grave author an eminent french physician that fish being a prolifick dyet there are more children born in roman catholick countries about nine months after lent than at any other season therefore reckoning a year after lent the markets will be more glutted than usual because the number of popish infants is at least three to one in this kingdom and therefore it will have one other collateral advantage by lessening the number of papists among us,novel
"wow, that's interesting. do you have a source for the number of popish infants?",chit-chat
i have already computed the charge of nursing a beggars child in which list i reckon all cottagers labourers and fourfifths of the farmers to be about two shillings per annum rags included and i believe no gentleman would repine to give ten shillings for the carcass of a good fat child which as i have said will make four dishes of excellent nutritive meat when he hath only some particular friend or his own family to dine with him,novel
"wow, that's a lot of food for a beginner. i'm not sure i could do that.",chit-chat
thus the squire will learn to be a good landlord and grow popular among his tenants the mother will have eight shillings neat profit and be fit for work till she produces another child,novel
"wow, that's a lot of money. i'm not sure i could do that.",chit-chat
those who are more thrifty as i must confess the times require may flay the carcass the skin of which artificially dressed will make admirable gloves for ladies and summer boots for fine gentlemen,novel
that's a great idea! i'll have to try that. i've never thought of that before.,chit-chat
