text,category
the project gutenberg ebook of romeo and juliet this ebook is for the use of anyone anywhere in the united states and most other parts of the world at no cost and with almost no restrictions whatsoever,novel
"i've never heard of it, but i'll look into it. do you know much about it?",chit-chat
you may copy it give it away or reuse it under the terms of the project gutenberg license included with this ebook or online at wwwgutenbergorg,novel
that's a great idea! i'll have to look into that. thank you!,chit-chat
if you are not located in the united states you will have to check the laws of the country where you are located before using this ebook,novel
i am located in the us. i will have to check the laws of the country where i are located before using this ebook,chit-chat
title romeo and juliet author william shakespeare release date november 1 1998 ebook 1513 most recently updated june 27 2023 language english start of the project gutenberg ebook romeo and juliet the tragedy of romeo and juliet by william shakespeare contents the prologue,novel
romeo and juliet is one of my favorite books of all time. it's a classic.,chit-chat
act i scene i,novel
what do you mean by that? do you act in a way that makes you look good?,chit-chat
a public place,novel
have you ever been to a public place? it's a place where people can sit and relax.,chit-chat
scene ii,novel
have you ever seen scene ii? it's an american film that was made in 1968.,chit-chat
a street,novel
have you ever been to a street? it's a place where people can walk around.,chit-chat
scene iii,novel
have you ever seen scene scene ii? it's an american film directed by james cameron.,chit-chat
room in capulets house,novel
have you ever been to a capulets house? it's a house that has a room for all ages.,chit-chat
scene iv,novel
have you ever seen scene scene? it's a film made in the late 1960s and early 1970s.,chit-chat
a street,novel
have you ever been to a street? it's a place where people can walk around.,chit-chat
scene v a hall in capulets house,novel
scene v a hall in capulets house is one of my favorite movies. have you seen it?,chit-chat
act ii chorus,novel
have you ever heard of the act ii chorus? it's an instrumental version of a chorus.,chit-chat
scene i,novel
have you ever been to a scene? it's a film made in the united states.,chit-chat
an open place adjoining capulets garden,novel
have you ever been to a capulet garden? it's an open place with a garden.,chit-chat
scene ii,novel
have you ever seen scene ii? it's an american film that was made in 1968.,chit-chat
capulets garden,novel
have you ever been to capulets garden? it's a garden that's been around for thousands of years.,chit-chat
scene iii,novel
have you ever seen scene scene ii? it's an american film directed by james cameron.,chit-chat
friar lawrences cell,novel
friar lawrs cell is a cell that is made of cells. are you familiar with cell phones?,chit-chat
scene iv,novel
have you ever seen scene scene? it's a film made in the late 1960s and early 1970s.,chit-chat
a street,novel
have you ever been to a street? it's a place where people can walk around.,chit-chat
scene v capulets garden,novel
"have you ever seen the movie "" caplets garden ""? it's one of my favorite movies.",chit-chat
scene vi,novel
have you ever seen scene scene? it's an american film produced by scene scene productions.,chit-chat
friar lawrences cell,novel
friar lawrs cell is a cell that is made of cells. are you familiar with cell phones?,chit-chat
act iii scene i,novel
have you ever seen the act iii scene? it's a scene in which an act is performed in front of a live audience.,chit-chat
a public place,novel
have you ever been to a public place? it's a place where people can sit and relax.,chit-chat
scene ii,novel
have you ever seen scene ii? it's an american film that was made in 1968.,chit-chat
a room in capulets house,novel
have you ever been to a room in capulets house? it's a house in the united states.,chit-chat
scene iii,novel
have you ever seen scene scene ii? it's an american film directed by james cameron.,chit-chat
friar lawrences cell,novel
friar lawrs cell is a cell that is made of cells. are you familiar with cell phones?,chit-chat
scene iv,novel
have you ever seen scene scene? it's a film made in the late 1960s and early 1970s.,chit-chat
a room in capulets house,novel
have you ever been to a room in capulets house? it's a house in the united states.,chit-chat
scene v an open gallery to juliets chamber overlooking the garden,novel
scene v a open gallery to juliets chamber overlooking the garden is one of my favorite movies. have you seen it?,chit-chat
act iv scene i friar lawrences cell,novel
i love the act iv scene i frilawrences cell. it's such a beautiful scene.,chit-chat
scene ii,novel
have you ever seen scene ii? it's an american film that was made in 1968.,chit-chat
hall in capulets house,novel
have you ever been to capuhouse? it's a house in new york city.,chit-chat
scene iii,novel
have you ever seen scene scene ii? it's an american film directed by james cameron.,chit-chat
juliets chamber,novel
have you ever been to a chamber? it's a chamber for the chamber of commerce.,chit-chat
scene iv,novel
have you ever seen scene scene? it's a film made in the late 1960s and early 1970s.,chit-chat
hall in capulets house,novel
have you ever been to capuhouse? it's a house in new york city.,chit-chat
scene v juliets chamber juliet on the bed,novel
scene v juliets chamber juliet on the bed is one of my favorite movies. have you seen it?,chit-chat
act v scene i mantua,novel
have you ever seen the act v scene i mantua? it's an act v movie.,chit-chat
a street,novel
have you ever been to a street? it's a place where people can walk around.,chit-chat
scene ii,novel
have you ever seen scene ii? it's an american film that was made in 1968.,chit-chat
friar lawrences cell,novel
