text,category
the project gutenberg ebook of salomes burden this ebook is for the use of anyone anywhere in the united states and most other parts of the world at no cost and with almost no restrictions whatsoever,novel
i love the gutenberg ebook! it's my favorite book of all time. have you read it?,chit-chat
you may copy it give it away or reuse it under the terms of the project gutenberg license included with this ebook or online at wwwgutenbergorg,novel
that's a great idea! i'll have to look into that. thank you!,chit-chat
if you are not located in the united states you will have to check the laws of the country where you are located before using this ebook,novel
i am located in the us. i will have to check the laws of the country where i are located before using this ebook,chit-chat
title salomes burden or the shadow on the homes author eleanora h stooke release date november 17 2023 ebook 72157 language english original publication london s w partridge co ltd 1904 start of the project gutenberg ebook salomes burden transcribers note unusual and inconsistent spelling is as printed,novel
i've never heard of eleanora h stooke. what's her name?,chit-chat
illustration salomes fresh sweet voice rang clearly through the dim church,novel
what do you do for a living? i'm a salesperson for a small business.,chit-chat
salomes burden or the shadow on the homes by eleanora h stooke author of mousie or cousin roberts treasure a little town mouse sir richards grandson little maid marigold,novel
the shadow on the homes by eleanora h stooke by mousie or cousin roberts treasure a little town mouse sir richards grandson little maid marigold,chit-chat
etc,novel
i'm so happy for you. it's been so long since i've had a good feeling about my life.,chit-chat
with four illustrations london s w partridge co ltd ec,novel
i've never heard of the partridge co. ltd ec before. what is it about?,chit-chat
4,novel
i've been trying to figure out what the heck is going on. i'm not sure what to expect.,chit-chat
made in great britain contents,novel
"i've never been to great britain, but i know it's a great place to visit.",chit-chat
chapter i salomes trouble ii,novel
chapter i is one of my favorite books. it's one of the most popular books in the world.,chit-chat
new acquaintances iii,novel
have you heard of new acquaintances ii? it's a new introduction to new people.,chit-chat
the fowlers at home iv,novel
have you heard of the fowlers at home iv? it's an american band.,chit-chat
abide with me v salomes humiliation vi,novel
i've never heard of that one. what's it about? do you like it?,chit-chat
perfectly happy vii,novel
i'm glad you think so. i've always been a bit of a perfectionist.,chit-chat
an afternoons outing viii,novel
have you ever been to an afternoons outing? it's an annual event held in london.,chit-chat
an awful thing ix,novel
what is an awful thing ix? i've never heard of it. what's it about?,chit-chat
the blow falls x mr fowlers return xi,novel
the blow falls x mr. fowlers return xi is one of my favorite bands. have you heard of them?,chit-chat
josiah at his worst xii,novel
"have you heard of josiah the worst? he's an english football player, right?",chit-chat
a brief repentance xiii,novel
have you heard of repentance xiii? it's a musical from the late 1960s.,chit-chat
mrs fowler and salome xiv,novel
"do you like salome xiv? she's an american singer, songwriter, and actress.",chit-chat
a stormy night xv,novel
have you ever been to a stormy? it's a restaurant that serves alcoholic drinks.,chit-chat
trouble at greystone xvi,novel
i've never heard of greystone xvi. what's it about? do you know much about it?,chit-chat
days of sickness xvii,novel
have you ever watched days of sickness xx? it's an american drama television series.,chit-chat
the shadow lifted xviii,novel
i'm not familiar with x8. what's it about? is it a game?,chit-chat
happier days salomes burden,novel
i'm sorry to hear that. what do you do for a living? do you have any hobbies?,chit-chat
chapter i salomes trouble,novel
chapter i is one of my favorite books. it's one of the most popular books in the world.,chit-chat
it was summer time,novel
summer is the best time of the year. it's the perfect time to enjoy life.,chit-chat
the day had been oppressively hot but now as the sun disappeared like a ball of fire beyond the broad atlantic a cool breeze sprang up and the inhabitants of the fishing village of yelton came to their cottage doors and gossiped with each other as they enjoyed the fresh evening air,novel
that's pretty cool. i've never been fishing before. what do you do for a living?,chit-chat
yelton was a small straggling village on the north coast of cornwall,novel
yelton was a small straggling village on the north coast of cornwall is that where you are from?,chit-chat
it owned but two houses of importancethe vicarage a roomy old dwelling which stood in its own grounds close to the church and greystone a substantial modern residence on a slight eminence beyond the village overlooking the sea,novel
"wow, that's really interesting. did you ever find out what it was like to live there?",chit-chat
the fishermens cottages were thatched and picturesque in appearance having little gardens in front where hardy flowers flourished these gardens were abloom with roses and carnations on this peaceful june evening and the showiest of them all was one which though nearer the sea than the others yet presented the neatest appearance of the lot,novel
"hello, how are you doing today? i hope you are having a good day, my friend.",chit-chat
this was salome pethericks garden and salome was a cripple girl of fourteen who lived with her father josiah petherick in the cottage at the end of the village close to the sea,novel
"wow, that must have been a long time ago. did you ever find out who she was?",chit-chat
salome had been lame from birth and could not walk at all without her crutches with their help however she could move about nimbly enough,novel
i'm sorry to hear that. i hope you're doing better now. what happened to salome?,chit-chat
many a happy hour did she spend in her garden whilst josiah was out in his fishing boat,novel
i'm not familiar with josiah's fishing boat. what is it like?,chit-chat
she was contented then as she always was when her father was on the broad sea for she felt he was in gods keeping and away from the drink which alas,novel
she was contented then as she always was when her father was on the broad sea for she felt he was in gods keeping and away from the drink which alas,chit-chat
was becoming the curse of his life,novel
i don't think so. i'm not sure what he's going to do.,chit-chat
josiah petherick was a brave man physically but he was a moral coward,novel
josiah petherick was a brave man physically but he was a moral cowardly coward,chit-chat
he would risk his life at any hourindeed he had often done sofor the sake of a fellowcreature in peril,novel
i don't think i've ever done that. i'm not sure i could do that.,chit-chat
he was fearless on the sea though it had robbed him of relations and friends in the past and if help was wanted for any dangerous enterprise he was always the first to be called upon but nevertheless there was no greater coward in yelton than josiah petherick on occasions,novel
i'm not familiar with josiah petherick. what's it about?,chit-chat
he had lost his wife to whom he had been much attached five years previously and left alone with his only child poor little lame salome who had been anything but a congenial companion for him he had sought amusement for his leisure hours at the crab and cockle as the village inn was called and there had acquired the habit of drinking to excess,novel
i'm sorry to hear that. it must have been hard for him to lose his wife.,chit-chat
as salome stood leaning on her crutches at the garden gate on this beautiful summer evening her face wore a very serious expression for she knew her father was at the crab and cockle and longed for yet dreaded his return,novel
"hello, how are you doing today? i hope you are having a good day, salome.",chit-chat
she was a small slight girl brownhaired and browneyed with a clear brunette complexion which was somewhat sunburnt for she spent most of her spare time in the open air,novel
"hey, how are you doing today? i just got back from the beach with my family.",chit-chat
having passed the requisite standard she had left school and now did all the work of her fathers cottage unaided besides attending to her flowers and josiah petherick was wont to declare that no man in yelton had a more capable housekeeper,novel
i'm sorry to hear that. i hope she's doing well in the future.,chit-chat
the neighbours marvelled that it was so for they had not thought the lame girl who had been decidedly crossgrained and selfish during her mothers lifetime would grow up so helpful but mrs pethericks death had wrought a great change in salome who had promised faithfully to look after poor father in the years to come,novel
i'm sorry to hear that. what happened to mrs. pethericks? did she die?,chit-chat
salome had endeavoured to be as good as her word but her influence over her father had not proved strong enough to keep him in the straight path and many an evening saw him ramble home from the crab and cockle in a condition of helpless intoxication,novel
i'm so sorry to hear about salome. i hope she's doing better now.,chit-chat
enjoying the cool breeze salome,novel
i love the cool breeze salome. it's one of my favorite things to do.,chit-chat
salome whose wistful brown eyes had been turned in the direction of a row of cottages at some distance outside one of which hung a signboard representing on its varnished surface a gigantic crab and a minute cockle started at the sound of a voice addressing her but smiled brightly as she saw mr amyatt the vicar of the parish,novel
"wow, that's interesting. i've never been to a parish, but i'd like to go one day.",chit-chat
he was an elderly man with irongrey hair stooping shoulders and a thin cleanshaven face,novel
that's interesting. did he have a clean shaven face and hair stoop?,chit-chat
ten years previously he had accepted the living of yelton when broken down in health he had been forced to resign his arduous duties in the large manufacturing town where he had laboured long and faithfully,novel
"wow, that's a long time. i'm so sorry to hear about your loss.",chit-chat
and the fisherfolk had grown to love and respect him though he never overlooked their failings or hesitated to reprove their faults,novel
that's a great way to look at it. i'm glad he's doing well.,chit-chat
i am waiting for father salome answered frankly,novel
i'm sorry to hear that. i hope he answers your question. what do you want to know?,chit-chat
his supper is ready for him and i am afraid it will spoil if he does not come soon,novel
i'm sorry to hear that. do you think he'll be able to make it?,chit-chat
it is a beautiful evening is it not sir,novel
"yes, it is. i'm so happy for her. she's going to be so happy.",chit-chat
very beautiful,novel
thank you so much! i'm so happy with how it turned out. it's one of my favorite things to do.,chit-chat
i have been on the beach for the last two hours,novel
"i love the beach, it's my favorite place to go. what did you do there?",chit-chat
how well your carnations are doing salome,novel
"my carnations are doing well, but i'm not sure what to do with them.",chit-chat
ah they always flourish best by the sea,novel
that's what i'm thinking. i don't know what to do with myself.,chit-chat
please let me give you some the little girl said eagerly,novel
"that would be so nice of you, thank you so much. i'm so happy for her.",chit-chat
oh i dont mind picking them in the least,novel
"i don't mind picking them in the least, but it's always nice to have someone to talk to.",chit-chat
i should like you to have them,novel
"i wish i could, but i don't think i'll ever be able to.",chit-chat
and moving about with agility on her crutches she gathered some of the choicest blooms and presented them to mr amyatt,novel
that is so sweet of mr. am. i wish i could have done that when i was younger.,chit-chat
thank you salome,novel
you're welcome! i'm glad you like it. what do you like about it?,chit-chat
they are lovely,novel
thank you! i'm so happy they're coming out of the closet. i can't wait to see them in person.,chit-chat
i have none to be compared to them in the vicarage gardens,novel
i've never been to a vicarage garden. what's it like there?,chit-chat
you are a born gardener,novel
"i wish i could be a gardener, but i'm not. i'd love to be though.",chit-chat
but what is amiss child,novel
"i'm not sure, but i don't think i'll ever have a child.",chit-chat
nothing sir at least nothing more than usual,novel
i'm sorry to hear that. it's been a long time since i've done anything like that.,chit-chat
i am anxious about father,novel
i'm sorry to hear that. have you talked to him about it or are you worried?,chit-chat
she paused for a moment a painful blush spreading over her face then continued he spends more time than ever at the crab and cockle hes rarely home of an evening now and when he returns hes sometimes soso violent,novel
i'm sorry to hear that. i hope you're able to take care of him.,chit-chat
he used not to be that,novel
i'm sorry to hear that. i hope you're doing better now. do you have a good relationship with him?,chit-chat
the vicar looked grave and sorry he pondered the situation in silence for a few minutes ere he responded you must have patience salome and do not reproach him my dear,novel
i don't know what i'm going to do. i can't help it.,chit-chat
reproaches never do any good and its worse than useless remonstrating with a man who is not sober,novel
i don't think i've ever had a reproach with a man who wasn't sober.,chit-chat
but what can i do sir,novel
i don't know. i'm not sure what to do. i just want to be happy.,chit-chat
she cried distressfully,novel
i'm sorry to hear that. i hope she's doing better now. what happened?,chit-chat
oh you can not imagine what a trouble it is to me,novel
i know right? i can't even imagine what it would be like to have to do that.,chit-chat
i think i can but you must not lose heart,novel
i don't. it's just that i'm not sure if i can do it.,chit-chat
prayer and patience work wonders,novel
i agree. i have been praying for a long time and it has helped me a lot.,chit-chat
ask god to show your father his sin in its true light i have asked him so often salome interposed and father gets worse instead of better,novel
