text,category
the project gutenberg ebook of the adventures of sherlock holmes this ebook is for the use of anyone anywhere in the united states and most other parts of the world at no cost and with almost no restrictions whatsoever,novel
i love the project gutenberg ebook of the adventures of sherlock holmes this ebook is for the use of anyone anywhere in the united states and most other parts of the world at no cost and with almost no restrictions whatsoever,chit-chat
you may copy it give it away or reuse it under the terms of the project gutenberg license included with this ebook or online at wwwgutenbergorg,novel
that's a great idea! i'll have to look into that. thank you!,chit-chat
if you are not located in the united states you will have to check the laws of the country where you are located before using this ebook,novel
i am located in the us. i will have to check the laws of the country where i are located before using this ebook,chit-chat
title the adventures of sherlock holmes author arthur conan doyle release date march 1 1999 ebook 1661 most recently updated october 10 2023 language english credits an anonymous project gutenberg volunteer and jose menendez start of the project gutenberg ebook the adventures of sherlock holmes the adventures of sherlock holmes by arthur conan doyle contents i,novel
the adventures of sherlock holmes by arthur conan doyle release date date march 1 1999 ebook 1661,chit-chat
a scandal in bohemia ii,novel
have you heard of the scandal in bohemia ii? it was a scandal in the early 20th century.,chit-chat
the redheaded league iii,novel
have you ever seen the redheaded league 3? it's an american professional basketball league.,chit-chat
a case of identity iv,novel
"have you ever had a case of identity iv? i've never had one, but i'd like to.",chit-chat
the boscombe valley mystery v the five orange pips vi,novel
the boscombe valley mystery v the five orange pips vi are you familiar with them?,chit-chat
the man with the twisted lip vii,novel
have you heard of the man with the twisted lip vii? it's an american rock band.,chit-chat
the adventure of the blue carbuncle viii,novel
have you ever watched the adventures of the blue carbuncle viii? it's an american animated television series.,chit-chat
the adventure of the speckled band ix,novel
the adventure of the speckled band ix is one of my favorite bands. have you heard of them?,chit-chat
the adventure of the engineers thumb x,novel
have you heard of the adventure of the engineers thumb x? it's an american horror film.,chit-chat
the adventure of the noble bachelor xi,novel
the adventure of the noble bachelor xi is one of my favorite tv shows. have you seen it?,chit-chat
the adventure of the beryl coronet xii,novel
the adventure of the beryl coronet xii is one of my favorite fantasy novels. have you read it?,chit-chat
the adventure of the copper beeches i,novel
i love the adventure of the copper beeches. it's one of my favorite books.,chit-chat
a scandal in bohemia i,novel
i don't think i've ever heard of a scandal in bohemia i. what's it about?,chit-chat
to sherlock holmes she is always _the_ woman,novel
"i've never seen that show, but i know it's based on a true story.",chit-chat
i have seldom heard him mention her under any other name,novel
i've never heard him mention her under any other name either. what is her name?,chit-chat
in his eyes she eclipses and predominates the whole of her sex,novel
"oh wow, that's interesting. i've never heard of that before. what does it look like?",chit-chat
it was not that he felt any emotion akin to love for irene adler,novel
irene adler is such a great character. i love her so much. she's one of my favorite characters.,chit-chat
all emotions and that one particularly were abhorrent to his cold precise but admirably balanced mind,novel
i'm sorry to hear that. what did he do to make you feel that way?,chit-chat
he was i take it the most perfect reasoning and observing machine that the world has seen but as a lover he would have placed himself in a false position,novel
that's a good way to look at it. i don't think i could do that.,chit-chat
he never spoke of the softer passions save with a gibe and a sneer,novel
i'm sorry to hear that. it must have been hard for him to be able to do that.,chit-chat
they were admirable things for the observerexcellent for drawing the veil from mens motives and actions,novel
"that's a good point, i didn't think of that. i'm glad they were able to do that.",chit-chat
but for the trained reasoner to admit such intrusions into his own delicate and finely adjusted temperament was to introduce a distracting factor which might throw a doubt upon all his mental results,novel
that's a good point. i didn't think of that. i'm not sure what to do now.,chit-chat
grit in a sensitive instrument or a crack in one of his own highpower lenses would not be more disturbing than a strong emotion in a nature such as his,novel
i don't think i would be able to do that. i'm not sure i could do it.,chit-chat
and yet there was but one woman to him and that woman was the late irene adler of dubious and questionable memory,novel
i'm not sure what you're talking about. are you talking about someone else?,chit-chat
i had seen little of holmes lately,novel
"i've never seen it, but i hear it's really good. what's it about?",chit-chat
my marriage had drifted us away from each other,novel
"oh no, i'm sorry to hear that. how long have you two been together?",chit-chat
my own complete happiness and the homecentred interests which rise up around the man who first finds himself master of his own establishment were sufficient to absorb all my attention while holmes who loathed every form of society with his whole bohemian soul remained in our lodgings in baker street buried among his old books and alternating from week to week between cocaine and ambition the drowsiness of the drug and the fierce energy of his own keen nature,novel
"wow, that's really interesting. i've never heard of holmes before. what's his name?",chit-chat
he was still as ever deeply attracted by the study of crime and occupied his immense faculties and extraordinary powers of observation in following out those clues and clearing up those mysteries which had been abandoned as hopeless by the official police,novel
"wow, that's really interesting. did you find out who he was or what he did?",chit-chat
